1448751561031700486,1448751561031700486,2021-10-14 16:44:23 EDT,2021-10-14,16:44:23,-0400,1323730225067339784,whitehouse,The White House,,The President's plan to beat the pandemic is working: -Daily cases down 47% -Hospitalizations down 38% in the last 6 weeks -Case rates declining in 39 states -Hospitalizations declining in 38 states And we’re down to 66 million unvaccinated people from almost 100 million in July.,en,[],[],[],247,765,3583,[],[],https://twitter.com/WhiteHouse/status/1448751561031700486,False,,0,,,,,,,,[],,,,
1448736133198884864,1448736133198884864,2021-10-14 15:43:05 EDT,2021-10-14,15:43:05,-0400,1323730225067339784,whitehouse,The White House,,Tune in for a briefing with Press Secretary Jen Psaki.  https://t.co/sGzsAF9Wp2,en,[],['https://twitter.com/i/broadcasts/1ypJdERYEejxW'],[],165,182,898,[],[],https://twitter.com/WhiteHouse/status/1448736133198884864,False,,0,,,,,,,,[],,,,
1448693159886790657,1448693159886790657,2021-10-14 12:52:19 EDT,2021-10-14,12:52:19,-0400,1323730225067339784,whitehouse,The White House,,Happening Now: President Biden provides an update on the COVID-19 response and the vaccination program.  https://t.co/Ld7L93KXeX,en,[],['https://twitter.com/i/broadcasts/1OdKrBPpAEyKX'],[],146,221,1159,[],[],https://twitter.com/WhiteHouse/status/1448693159886790657,False,,0,,,,,,,,[],,,,
1448685127681314818,1448685127681314818,2021-10-14 12:20:24 EDT,2021-10-14,12:20:24,-0400,1323730225067339784,whitehouse,The White House,,"In just 8 months, the economy has created almost 5M jobs — 10 times the monthly average we inherited from the previous president. That's because @POTUS has focused on the two big challenges facing our country: getting Americans vaccinated and back to work.",en,"[{'screen_name': 'potus', 'name': 'president biden', 'id': '1349149096909668363'}]",[],[],498,1168,5407,[],[],https://twitter.com/WhiteHouse/status/1448685127681314818,False,,0,,,,,,,,[],,,,
1448668230311202818,1448668230311202818,2021-10-14 11:13:15 EDT,2021-10-14,11:13:15,-0400,1323730225067339784,whitehouse,The White House,,"In celebration of Hispanic Heritage Month, Flor de Toloache visited and performed live at the White House.  Watch the full performance on YouTube:  https://t.co/TSfVpm2kHE  https://t.co/XRiWnkAOeG",en,[],['https://youtu.be/4976R7TDaX4'],[],116,392,1857,[],[],https://twitter.com/WhiteHouse/status/1448668230311202818,False,,1,https://pbs.twimg.com/media/FBq0E29XEAAp4Nb.jpg,,,,,,,[],,,,
1448471788783116289,1448471788783116289,2021-10-13 22:12:40 EDT,2021-10-13,22:12:40,-0400,1323730225067339784,whitehouse,The White House,,"Today, President Biden met with senior officials and stakeholders to discuss the collective effort to address challenges at ports across the globe and strengthen the resilience of our supply chains.  https://t.co/EJ1Hl70n7D",en,[],[],['https://pbs.twimg.com/media/FBoBajOWUAAXpto.jpg'],561,728,4530,[],[],https://twitter.com/WhiteHouse/status/1448471788783116289,False,,1,https://pbs.twimg.com/media/FBoBajOWUAAXpto.jpg,,,,,,,[],,,,
1448388838049648642,1448388826410491911,2021-10-13 16:43:03 EDT,2021-10-13,16:43:03,-0400,1323730225067339784,whitehouse,The White House,,"Together, the President's Bipartisan Infrastructure Deal and Build Back Better Agenda will set America on track to be a global leader in industry, education, climate resilience, clean energy, and more. With these investments, we can compete for and win the 21st century.",en,[],[],[],208,273,1397,[],[],https://twitter.com/WhiteHouse/status/1448388838049648642,False,,0,,,,,,,,[],,,,
1448388836573208585,1448388826410491911,2021-10-13 16:43:03 EDT,2021-10-13,16:43:03,-0400,1323730225067339784,whitehouse,The White House,,"The Build Back Better Agenda will help prepare the next generation of Americans to succeed. The plan will: -Cut child poverty rates by extending the Rescue Plan's Child Tax Credit expansion  -Make higher education more affordable -Increase the maximum Pell grant by $1,500",en,[],[],[],55,282,1394,[],[],https://twitter.com/WhiteHouse/status/1448388836573208585,False,,0,,,,,,,,[],,,,
1448388835415674881,1448388826410491911,2021-10-13 16:43:02 EDT,2021-10-13,16:43:02,-0400,1323730225067339784,whitehouse,The White House,,The Build Back Better Agenda will:  -Lower child care costs -Make universal preschool a reality -Establish a national comprehensive paid family and medical leave program And more.    Americans will no longer be forced to choose between a job or caring for a loved one.,en,[],[],[],25,192,716,[],[],https://twitter.com/WhiteHouse/status/1448388835415674881,False,,0,,,,,,,,[],,,,
1448388834060812289,1448388826410491911,2021-10-13 16:43:02 EDT,2021-10-13,16:43:02,-0400,1323730225067339784,whitehouse,The White House,,"Currently, the US is losing more than $500 billion in additional economic activity per year, because American women between the ages of 25 and 54 do not participate in the labor force at the same rate as they do in Canada, Germany, or other leading economies.",en,[],[],[],33,221,734,[],[],https://twitter.com/WhiteHouse/status/1448388834060812289,False,,0,,,,,,,,[],,,,
1448388832508981253,1448388826410491911,2021-10-13 16:43:02 EDT,2021-10-13,16:43:02,-0400,1323730225067339784,whitehouse,The White House,,"In 2020, the World Economic Forum ranked the US 28th in “energy transition readiness.” The Infrastructure Deal and Build Back Better Agenda will put us back in a position to lead by making the largest investments in clean energy transmission and climate resilience in US history.",en,[],[],[],17,122,525,[],[],https://twitter.com/WhiteHouse/status/1448388832508981253,False,,0,,,,,,,,[],,,,
1448388831363878912,1448388826410491911,2021-10-13 16:43:01 EDT,2021-10-13,16:43:01,-0400,1323730225067339784,whitehouse,The White House,,"China currently leads the US in steel manufacturing – they produce more steel in a month than we do in a year — and they're investing 3 times as much on infrastructure.  The Infrastructure Deal will revitalize US manufacturing and invest in our roads, bridges, and rail systems.",en,[],[],[],14,142,570,[],[],https://twitter.com/WhiteHouse/status/1448388831363878912,False,,0,,,,,,,,[],,,,
